K23S78Z 17.60  0.15 K24AH  93.76521  285.83879   32.66158   11.90996  0.3199265  0.14763095   3.5455567  7 MPO811334    12   1   30 days 0.41 M-v 3Ek Veres      2000          2023 SZ78          20231018
K23S79F 19.73  0.15 K24AH 152.10962  270.21198   22.44132    4.79776  0.2462409  0.27286769   2.3541528  7 MPO811335    10   1   28 days 0.47 M-v 3Ek Veres      2000          2023 SF79          20231017
K23T57G 19.05  0.15 K24AH 106.05637  310.68547   38.04440    5.44994  0.1823316  0.22767714   2.6561735  7 MPO775568    19   1   17 days 0.13 M-v 3Ek Veres      2000          2023 TG57          20231022
K23T67S 20.03  0.15 K24AH  88.66512   17.65710   33.67043    4.44267  0.1127576  0.30636467   2.1792661  7 MPO775600    22   1   17 days 0.59 M-v 3Ek Veres      2000          2023 TS67          20231022
K23TF2E 18.07  0.15 K24AH  77.84364  284.61068   90.58524    6.59398  0.1177832  0.18942291   3.0027169  7 MPO792938    11   1   15 days 0.37 M-v 3Ek Veres      2000          2023 TE152         20231020
K23TG2N 18.86  0.15 K24AH  44.28907  219.27154  194.53601   12.88885  0.2486420  0.17865137   3.1222319  7 MPO792967    10   1    8 days 0.51 M-v 3Ek Veres      2000          2023 TN162         20231022
K23TI2W 20.49  0.15 K24AH  87.01070  132.41030  246.50717    3.40361  0.2953930  0.23827449   2.5768216  7 MPO793022    14   1   16 days 0.44 M-v 3Ek Veres      2000          2023 TW182         20231021
K23TJ3D 18.46  0.15 K24AH 116.85839    0.07604  343.71586   33.88251  0.1981395  0.23548275   2.5971477  7 MPO811371    11   1   16 days 0.52 M-v 3Ek Veres      2000          2023 TD193         20231020
K23V07S 18.07  0.15 K24AH  75.81661  230.25588  240.85607   30.94578  0.2898220  0.23316304   2.6143450  7 E2023-XD2    16   1   27 days 0.88 M-v 3Ek Veres      2000          2023 VS7           20231206
K23X20L 19.05  0.15 K24AH 116.24175   84.20725  263.74593   24.66235  0.3290867  0.23389229   2.6089081  7 MPO793497    20   1   11 days 0.79 M-v 3Ek Veres      2000          2023 XL20          20231214
K23Y03Y 19.31  0.15 K24AH 107.57393  301.81425   79.15179   30.24622  0.4890735  0.23834698   2.5762991  7 MPO793551    18   1   32 days 0.45 M-v 3Ek MPCLINUX   2005          2023 YY3           20240119
K24S22F 20.50  0.15 K24AH   4.91317  181.34670  180.26743    9.86160  0.2274205  0.29770724   2.2213131  7 E2024-TI9    11   1    9 days 0.95 M-v 3Ek MPCLINUX   0000          2024 SF22          20241004
K24S24Y 17.57  0.15 K24AH 347.04797  329.03192   73.09150    3.63648  0.1230783  0.17315649   3.1879405  7 E2024-TI9    12   1   11 days 0.83 M-v 3Ek MPCLINUX   0000          2024 SY24          20241005
K24S25M 19.62  0.15 K24AH  51.90347  119.55271  179.29979    9.75817  0.2474506  0.27325800   2.3519105  7 E2024-TI9    10   1   11 days 0.86 M-v 3Ek MPCLINUX   0000          2024 SM25          20241005
K24S27M 20.75  0.15 K24AH 356.51021  197.69697  181.97666    2.78184  0.2223800  0.28877787   2.2668708  7 E2024-TO9    18   1   16 days 0.92 M-v 3Ek MPCLINUX   0000          2024 SM27          20241010
K23RE1N 18.18  0.15 K24AH  82.43900  159.10438  176.42987    6.01924  0.1677444  0.18174574   3.0866915  8 MPO792800    10   1   14 days 0.56 M-v 3Ek Veres      2000          2023 RN141         20230920
K23RG8X 17.84  0.15 K24AH  97.30919  359.99961  320.81778    0.97484  0.0625238  0.20476768   2.8507674  8 E2024-Ra6    32   1   13 days 0.57 M-v 3Ek MPCLINUX   2000          2023 RX168         20230920
K23S82V 18.45  0.15 K24AH  42.01827   50.31378  356.82377   15.76800  0.2445582  0.18152140   3.0892341  8 MPO811344    11   1   26 days 0.36 M-v 3Ek Veres      2000          2023 SV82          20231015
K23T19M 17.67  0.15 K24AH  87.47601  328.91320   25.26181   18.38003  0.0873941  0.18502026   3.0501640  8 MPO775442    16   1   11 days 0.65 M-v 3Ek Veres      2000          2023 TM19          20231016
K23T30Y 19.18  0.15 K24AH 106.37748  143.16990  219.25342   11.16169  0.1146468  0.24934075   2.5000031  8 MPO775481    23   1   10 days 0.32 M-v 3Ek Veres      2000          2023 TY30          20231016
K23T43D 19.60  0.15 K24AH  86.04987  182.17422  186.58755    8.35336  0.2203225  0.21700666   2.7425465  8 MPO775521    15   1   14 days 0.24 M-v 3Ek Veres      2000          2023 TD43          20231019
K23T84E 19.71  0.15 K24AH 119.95112  325.38513   24.80923    3.59443  0.1932458  0.26825974   2.3810346  8 MPO775651    23   1   17 days 0.33 M-v 3Ek Veres      2000          2023 TE84          20231022
K23X37W 18.74  0.15 K24AH  94.38666  130.34203  274.70124    8.56187  0.2907583  0.21381170   2.7698000  8 MPO811414    14   1   21 days 0.32 M-v 3Ek Veres      2000          2023 XW37          20240105
K24H07D 17.57  0.15 K24AH 346.97946  222.80229   53.93367   16.89959  0.1751714  0.17396338   3.1780751  8 MPO825872    12   1    8 days 0.70 M-v 3Ek Veres      0000          2024 HD7           20240506
K24S25O 20.20  0.15 K24AH 357.80663  136.39912  236.75142    2.57176  0.2375608  0.28954301   2.2628755  8 E2024-TI9    12   1   12 days 0.85 M-v 3Ek MPCLINUX   0000          2024 SO25          20241006
K23S04B 18.55  0.15 K24AH  60.48578  258.48876  184.04969   22.20066  0.4562015  0.18189220   3.0850343  9 MPO775116    10   1    3 days 0.44 M-v 3Ek Bell       2000          2023 SB4           20230922
K23T28C 20.35  0.15 K24AH  99.08491  144.24378  217.54696    4.59303  0.2628641  0.24078336   2.5588907  9 MPO775471    10   1   11 days 0.14 M-v 3Ek Veres      2000          2023 TC28          20231016
K23T29P 19.77  0.15 K24AH 117.99649  176.87153  171.18042    1.04428  0.2020316  0.26648056   2.3916210  9 MPO775476    14   1   11 days 0.31 M-v 3Ek Veres      2000          2023 TP29          20231016
